font_size,font_is_bold,norm_x0,norm_y0,word_count,char_count,uppercase_ratio,ends_with_punctuation,numbering_pattern,node_degree,avg_neighbor_distance,font_size_ratio,bold_vs_neighbors,space_above,indentation_vs_below,page_idx,node_idx,text_snippet,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,label_x,label_y,label
11.67000008,0,0.335899161,0.125983802,7,41,0.097560976,0,0,4,171.4700326,1.19761094,0,0.0,-129.840004,1,0,Application form for grant of LTC advance ,,,,,title,title,
9.744400024,0,0.117680667,0.15794831,6,33,0.090909091,0,0,5,83.23630501,0.961980429,0,26.91411591,0.0,1,1,1,,,,,body,body,
9.744400024,0,0.117680667,0.179392962,2,14,0.071428571,0,0,4,45.84918601,1.0,0,18.05639648,0.0,1,2,2,,,,,body,body,
9.744400024,0,0.117680667,0.214875554,1,2,0.0,1,0,4,53.9050718,1.0,0,29.87634277,0.0,1,3,3,,,,,body,body,
9.744400024,0,0.161342127,0.200907057,6,39,0.076923077,0,0,5,83.07601983,0.961980429,0,36.17126465,0.0,1,4,Date of entering the Central Government ,,,,,body,body,
9.744400024,0,0.161342127,0.221784632,1,7,0.142857143,0,0,5,43.7152362,1.0,0,5.817443848,-25.97856903,1,5,Service ,,,,,body,body,
9.744400024,0,0.117680667,0.243298655,6,17,0.470588235,0,0,6,53.54819923,1.0,0,18.11480713,0.0,1,6,4,,,,,body,body,
9.744400024,0,0.117680667,0.264743307,5,33,0.03030303,0,0,6,48.42435744,1.0,0,18.05639648,25.97856903,1,7,5,,,,,body,body,
9.744400024,0,0.117680667,0.286338371,9,44,0.090909091,0,0,6,67.5003313,0.968114981,0,18.18304443,25.97856903,1,8,6,,,,,body,body,
9.744400024,0,0.117680667,0.314773088,1,2,0.0,1,0,4,70.04842059,1.0,0,60.18147278,25.97856903,1,9,7,,,,,body,body,
9.744400024,0,0.161342127,0.300804573,8,41,0.024390244,0,0,7,68.28459877,0.972544926,0,12.18054199,0.0,1,10,Whether wife / husband is employed and if ,,,,,body,body,
9.744400024,0,0.161342127,0.321682167,5,26,0.115384615,0,0,8,56.48090286,1.0,0,5.817443848,0.0,1,11,so whether entitled to LTC ,,,,,body,body,
9.744400024,0,0.117680667,0.36764983,1,2,0.0,1,0,4,62.9392153,1.0,0,38.70477295,25.97856903,1,12,8,,,,,body,body,
9.744400024,0,0.161342127,0.343207787,8,43,0.023255814,0,0,5,40.48932721,1.0,0,18.12457275,0.0,1,13,Whether the concession is to be availed for ,,,,,body,body,
9.744400024,0,0.161342127,0.364085363,9,44,0.0,0,0,5,43.82842226,1.0,0,17.57891846,0.0,1,14,visiting home town and if so block for which ,,,,,body,body,
9.744400024,0,0.161342127,0.385032309,5,21,0.142857143,1,0,6,58.88197304,1.0,0,14.63604736,-25.97856903,1,15,LTC is to be availed. ,,,,,body,body,
9.744400024,0,0.117680667,0.430918931,1,2,0.0,1,0,4,66.61255157,1.0,0,2.942810059,25.97856903,1,16,9,,,,,body,body,
9.744400024,0,0.161342127,0.406476961,9,45,0.022222222,0,0,6,47.44784476,1.0,0,18.05639648,0.0,1,17,(a) If the concession is to visit anywhere in ,,,,,body,body,
9.744400024,0,0.161342127,0.427423908,6,31,0.032258065,1,0,6,49.81745173,1.0,0,17.6373291,0.0,1,18,"India, the place to be visited. ",,,,,body,body,
9.744400024,0,0.161342127,0.448301483,7,34,0.029411765,1,0,7,56.55112924,1.0,0,17.57891846,0.0,1,19,(b) Block for which to be availed. ,,,,,body,body,
9.744400024,0,0.117680667,0.494269074,1,3,0.0,1,0,5,81.70371656,1.0,0,38.70471191,33.60839081,1,20,10,,,,,body,body,
9.744400024,0,0.161342127,0.469827104,6,34,0.029411765,0,0,6,48.33459517,1.0,0,18.12457275,0.0,1,21,Single ,,,,,body,body,
9.744400024,0,0.161342127,0.490704607,7,43,0.0,0,0,6,61.8910257,1.0,0,17.57885742,0.0,1,22,headquarters to home town/place of visit by ,,,,,body,body,
9.744400024,0,0.161342127,0.511582182,2,15,0.0,1,0,6,75.68266923,1.0,0,14.57763672,7.629821777,1,23,shortest route. ,,,,,body,body,
9.744400024,0,0.117680667,0.592175989,1,3,0.0,1,0,5,105.6735997,1.0,0,67.85998535,0.019432068,1,24,11,,,,,body,body,
9.744400024,0,0.161342127,0.533177247,11,57,0.070175439,1,0,6,97.36691655,1.0,0,35.76196289,-25.96890259,1,25,Persons in respect of whom LTC is proposed to be a,,,,,body,body,
9.744400024,0,0.161342127,0.5511384,8,38,0.131578947,1,0,6,148.4172209,1.0,0,15.12329102,307.04599,1,26,S.No ,,,,,body,body,
9.744400024,0,0.174165357,0.628804331,2,5,0.0,1,0,5,102.7919885,1.0,0,30.84106445,-33.58895874,1,27,5,,,,,body,body,
9.744400024,0,0.117696964,0.666427866,6,35,0.057142857,1,0,8,153.8695492,1.0,0,31.67901611,333.0148621,1,28,12. Amount of advance required. ,,,,,body,body,
9.744400024,0,0.117696913,0.708831062,35,199,0.010050251,1,0,5,130.7511014,1.0,0,35.70349121,333.0148926,1,29,I declare that the particulars furnished above are,,,,,body,body,
9.744400024,0,0.117713326,0.750667182,34,176,0.017045455,1,0,5,149.779785,1.0,0,35.22601318,0.0,1,30,In the event of cancellation of the journey or if ,,,,,body,body,
9.744400024,0,0.117713326,0.806390758,1,4,0.25,0,0,4,182.3003206,1.0,0,46.91925049,0.0,1,31,Date ,,,,,body,body,
9.744400024,0,0.677385808,0.820359327,4,32,0.09375,1,0,4,239.0706354,1.0,0,58.68078613,0.0,1,32,Signature of Government Servant. ,,,,,body,body,
24.0,0,0.4128267874125562,0.2394192242863202,1,8,0.125,0,0,4,243.93808125080872,1.5009380854087515,0,0.0,-181.70599365234372,1,0,Overview ,,,,,,,title
24.0,0,0.2276895311143663,0.3091464957805595,3,27,0.1111111111111111,0,0,4,202.5581604708211,1.5009380854087515,0,55.2239990234375,-68.40199279785156,1,1,Foundation Level Extensions ,,,,,,,title
12.0,0,0.4504738601983762,0.4828661909007062,2,11,0.0909090909090909,0,0,4,169.93539887945468,0.6319115320681212,0,137.58599853515625,-204.7460021972656,1,2,Version 1.0 ,,,,,,,body
18.0,0,0.1688562031664879,0.5880050273856732,5,51,0.0980392156862745,0,0,4,191.7945132885234,1.0291595191643894,0,83.26995849609375,-32.39599609375,1,3,International Software Testing Qualifications Boar,,,,,,,body
9.960000038146973,0,0.1159215690263735,0.8235936791005761,18,110,0.0272727272727272,1,0,4,333.66462331148176,0.5107692327254858,0,186.58621215820312,0.0,1,4,Copyright Notice ,,,,,,,body
10.251428604125977,0,0.1216078490213631,0.0487704710526899,11,96,0.1041666666666666,0,0,4,413.7123684951531,1.1428571428571428,0,0.0,2.159996032714844,2,0,International ,,,,,,,body
9.960000038146973,0,0.8064506381165748,0.0778613524003462,1,5,0.2,0,0,4,475.7892836534701,1.10142180184754,0,23.03997802734375,-416.9637908935547,2,1,Board ,,,,,,,body
9.960000038146973,0,0.1159215690263735,0.1519775294294261,10,92,0.1195652173913043,1,0,4,384.44225232993006,1.10142180184754,0,58.70001220703125,5.6399993896484375,2,2,Copyright © International Software Testing Qualifi,,,,,,,body
9.960000038146973,0,0.1251329409530739,0.9074284717290088,9,38,0.0789473684210526,0,0,4,528.3689272846218,1.10142180184754,0,598.3171463012695,0.0026397705078125,2,3,Version 2014 ,,,,,,,body
6.0,0,0.1251372543035769,0.9304166851621686,6,53,0.0943396226415094,0,0,4,562.2499715792512,0.5980350255732696,0,18.2066650390625,0.0,2,4,© International Software Testing Qualifications Bo,,,,,,,body
9.960000038146973,0,0.7038398692810458,0.0778613524003462,2,20,0.1,0,0,4,354.4674336636367,0.8627111309318664,0,23.03997802734375,-354.16600036621094,3,0,Qualifications Board ,,,,,,,body
10.300000031789144,0,0.1216078490213631,0.0487704710526899,10,81,0.1111111111111111,0,0,5,370.4023432052133,0.9934413581666396,0,0.0,2.159996032714844,3,1,International ,,,,,,,body
15.960000038146973,0,0.1159215690263735,0.1375457108622849,2,16,0.125,0,0,5,388.3185924201598,1.7280207868784383,0,47.27001190185547,5.6399993896484375,3,2,Revision History ,,,,,,,heading
9.960000038146973,0,0.1216078490213631,0.1760684697314946,53,298,0.1174496644295302,0,0,5,326.9389976928825,0.9543886556376876,0,30.510025024414062,2.159996032714844,3,3,Version ,,,,,,,body
9.960000038146973,0,0.1251372543035769,0.9074337891858032,9,38,0.0789473684210526,0,0,5,535.8453901523362,0.9543886556376876,0,579.2413330078125,-5.6399993896484375,3,4,Version 2014 ,,,,,,,body
6.0,0,0.1251372543035769,0.9304166851621686,6,53,0.0943396226415094,0,0,4,514.9945260871125,0.5197054985708842,0,18.20245361328125,0.0,3,5,© International Software Testing Qualifications Bo,,,,,,,body
9.960000038146973,0,0.2480705859614353,0.1827350963245738,1,138,0.0,1,0,7,75.43323690596564,0.9958374143930968,0,83.06000518798828,341.7285919189453,4,0,..................................................,,,,,,,body
9.960000038146973,0,0.2570866603477328,0.2047049782492897,1,136,0.0,1,0,8,80.95567256833834,0.9963558414537204,0,17.400146484375,336.21075439453125,4,1,..................................................,,,,,,,body
9.960000038146973,0,0.5277318019492954,0.2268257526436237,1,76,0.0,1,0,6,92.22472618437727,1.0,0,17.5196533203125,170.575927734375,4,2,..................................................,,,,,,,body
9.960000038146973,0,0.586385141011157,0.2489465270379577,1,63,0.0,1,0,5,94.23505901201844,1.0,0,17.5196533203125,134.68008422851562,4,3,..................................................,,,,,,,body
9.960000038146973,0,0.3153494541941125,0.2712181939019097,6,677,0.0,1,0,7,82.34753413932005,1.0,0,17.63916015625,221.0821228027344,4,4,..................................................,,,,,,,body
9.960000038146973,0,0.6765947528913909,0.3658256916084675,1,41,0.0,1,0,4,116.71739116468146,1.0,0,74.92913818359375,-267.177001953125,4,5,......................................... ,,,,,,,body
9.960000038146973,0,0.2400310242098141,0.3880973584724195,2,246,0.0,1,0,7,54.984279554827104,1.0,0,17.63916015625,20.16900634765625,4,6,..................................................,,,,,,,body
9.960000038146973,0,0.2390545614404616,0.4244664510091145,1,138,0.0,1,0,5,29.897725850241663,1.0,0,28.8043212890625,-65.39736938476562,4,7,..................................................,,,,,,,body
9.960000038146973,0,0.2729869169347426,0.4467381178730666,2,229,0.0,1,0,6,157.37511355138986,1.0709677423765402,0,17.63916015625,-90.48399353027344,4,8,..................................................,,,,,,,body
10.251428604125977,0,0.1216078490213631,0.0487704710526899,11,96,0.1041666666666666,0,0,5,120.94492069563928,0.9185867893445048,0,0.0,-3.4800033569335938,4,9,International ,,,,,,,body
9.960000038146973,0,0.8064506381165748,0.0778613524003462,1,5,0.2,0,0,4,166.3168611457183,1.0,0,0.0,-336.21075439453125,4,10,Board ,,,,,,,body
15.960000038146973,0,0.1159215690263735,0.1375457108622849,3,17,0.1176470588235294,0,0,4,173.17526128088517,1.5907731718271014,0,70.30998992919922,-3.0517578125e-05,4,11,Table of Contents ,,,,,,,heading
9.960000038146973,0,0.1159215690263735,0.1827350963245738,3,18,0.1111111111111111,0,0,7,64.2800527314409,0.91723049201192,0,35.78999328613281,-3.0517578125e-05,4,12,Revision History ,,,,,,,body
9.960000038146973,0,0.1159215191610498,0.2047049782492897,4,19,0.1052631578947368,0,0,7,62.40594886942415,0.91723049201192,0,17.400146484375,0.0,4,13,Table of Contents ,,,,,,,body
9.960000038146973,0,0.1159215191610498,0.2268257526436237,8,52,0.0769230769230769,0,0,7,58.27511231578293,0.9207606975853034,0,17.5196533203125,9.959991455078123,4,14,1. ,,,,,,,body
9.960000038146973,0,0.1159215191610498,0.2489465270379577,9,60,0.1,0,0,5,45.04952837810876,1.0,0,17.5196533203125,3.0517578125e-05,4,15,2. ,,,,,,,body
9.960000038146973,0,0.1321960150026807,0.2712181939019097,27,164,0.0914634146341463,0,1,4,52.24062902099886,1.0,0,17.63916015625,-9.959991455078123,4,16,2.1 ,,,,,,,body
9.960000038146973,0,0.115937775256587,0.363964466133503,11,71,0.0985915492957746,0,0,5,45.91603776690427,1.0,0,73.45504760742188,-0.009918212890625,4,17,3. ,,,,,,,body
9.960000038146973,0,0.1321961147333282,0.3880973584724195,6,38,0.0789473684210526,0,1,5,31.08641397745656,1.0,0,19.113250732421875,0.0,4,18,3.1 ,,,,,,,body
9.960000038146973,0,0.1159215690263735,0.4244664510091145,3,16,0.0625,0,0,8,127.9439328912252,1.0522979400974897,0,28.8043212890625,5.6399993896484375,4,19,4. ,,,,,,,body
9.960000038146973,0,0.1321961147333282,0.4467381178730666,8,47,0.0851063829787234,0,1,6,151.7642813051215,1.0709677423765402,0,17.63916015625,-4.3200225830078125,4,20,4.1 ,,,,,,,body
9.960000038146973,0,0.1251655528747957,0.9074636131826074,9,38,0.0789473684210526,0,0,4,315.4203948084673,1.1103678936877472,0,364.89459228515625,-5.657318115234375,4,21,Version 2014 ,,,,,,,body
6.0,0,0.1251372543035769,0.9304166851621686,6,53,0.0943396226415094,0,0,4,355.4185515872524,0.6024096362469775,0,18.1788330078125,0.0,4,22,© International Software Testing Qualifications Bo,,,,,,,body
10.251428604125977,0,0.1216078490213631,0.0487704710526899,11,96,0.1041666666666666,0,0,5,155.64427282969862,0.9185867893445048,0,0.0,419.12378692626953,5,0,International ,,,,,,,body
9.960000038146973,0,0.8064506381165748,0.0778613524003462,1,5,0.2,0,0,4,233.46636486363792,0.9927381462538318,0,23.03997802734375,-422.6037902832031,5,1,Board ,,,,,,,body
15.960000038146973,0,0.1159215690263735,0.1375457108622849,1,16,0.0625,0,0,4,173.9713029034474,1.5907731718271014,0,70.30998992919922,0.0,5,2,Acknowledgements ,,,,,,,heading
9.960000038146973,0,0.1159215690263735,0.1828866053109217,18,129,0.0775193798449612,1,0,6,117.5207966053472,0.9047495462131696,0,35.90998840332031,0.0,5,3,This document was produced by a team from the Inte,,,,,,,body
9.960000038146973,0,0.1159215690263735,0.2263735376223169,17,104,0.048076923076923,1,0,7,118.88529378093138,0.91723049201192,0,34.441650390625,0.0,5,4,The Agile Extension team thanks the review team an,,,,,,,body
9.960000038146973,0,0.1159215690263735,0.2554612593217329,53,384,0.1015625,1,0,8,132.21371219123125,0.926819541694393,0,23.0374755859375,-3.0517578125e-05,5,5,At the time the Foundation Level Agile Extension S,,,,,,,body
9.960000038146973,0,0.1159215690263735,0.3280862365106139,24,165,0.1272727272727272,1,0,6,109.43651915823796,1.0,0,57.51898193359375,-3.0517578125e-05,5,6,"Authors: Rex Black, Anders Claesson, Gerry Coleman",,,,,,,body
9.960000038146973,0,0.1159215690263735,0.3715732073543047,41,340,0.1205882352941176,1,0,7,199.0729867769387,1.0602189784726876,0,34.441680908203125,5.6399993896484375,5,7,"Internal Reviewers: Mette Bruhn-Pedersen, Christop",,,,,,,body
9.960000038146973,0,0.1159215191610498,0.4441604614257812,141,991,0.1200807265388496,1,0,6,196.4590063778609,1.0709677423765402,0,57.489105224609375,5.6400299072265625,5,8,"The team thanks also the following persons, from t",,,,,,,body
9.960000038146973,0,0.1159215191610498,0.6039229498969184,18,102,0.088235294117647,1,0,5,199.87235662597504,1.086387435099592,0,126.53189086914062,5.6400299072265625,5,9,This document was formally approved for release by,,,,,,,body
9.960000038146973,0,0.1251329409530739,0.9075017601552636,9,38,0.0789473684210526,0,0,4,278.81536194150294,1.1103678936877472,0,240.43441772460935,-5.637359619140625,5,10,Version 2014 ,,,,,,,body
6.0,0,0.1251372543035769,0.9304166851621686,6,53,0.0943396226415094,0,0,4,316.77572175178864,0.6024096362469775,0,18.14862060546875,0.0,5,11,© International Software Testing Qualifications Bo,,,,,,,body
9.960000038146973,0,0.7038398692810458,0.0778613524003462,2,20,0.1,0,0,4,204.01282565800744,0.8627111309318664,0,23.03997802734375,-359.80601501464844,6,0,Qualifications Board ,,,,,,,body
10.300000031789144,0,0.1216078490213631,0.0487704710526899,10,81,0.1111111111111111,0,0,4,132.27312685114617,0.8987783592934966,0,0.0,-3.480018615722656,6,1,International ,,,,,,,body
15.960000038146973,0,0.1159215690263735,0.1552729558463048,7,50,0.08,0,0,5,117.69950363786003,1.5915436756539838,0,61.30998992919922,-1.52587890625e-05,6,2,1. Introduction to the Foundation Level Extensions,,,,,,,heading
9.960000038146973,0,0.1159215440937117,0.1847047902116871,33,218,0.0412844036697247,1,0,5,103.1002763570677,0.8870680446594208,0,23.31001281738281,0.0,6,3,This overview document is intended for anyone with,,,,,,,body
9.960000038146973,0,0.1159215440937117,0.242741979733862,42,261,0.053639846743295,1,0,8,142.5682348968921,0.9262962105136228,0,45.9654541015625,0.009979248046875,6,4,"From time to time, ISTQB will update this document",,,,,,,body
9.960000038146973,0,0.1159215440937117,0.3009678233753551,107,647,0.0571870170015456,1,0,6,123.94395242413144,0.9087591244051608,0,46.1148681640625,18.007705688476562,6,5,The ISTQB Foundation and Advanced Level syllabi ha,,,,,,,body
9.960000038146973,0,0.1159215814927045,0.417054609818892,9,68,0.0588235294117647,0,0,6,209.46806159322887,1.0709677423765402,0,91.94073486328124,5.639991760253906,6,6,The following Foundation Level Extension syllabus ,,,,,,,body
9.960000038146973,0,0.1453458997938368,0.4306489963724155,3,14,0.1428571428571428,0,0,6,253.8289973781216,1.0709677423765402,0,10.766754150390623,-12.367691040039062,6,7, ,,,,,,,body
9.960000038146973,0,0.1159378500545726,0.461447051077178,62,420,0.0357142857142857,1,0,6,216.2688575648476,1.0709677423765402,0,24.392059326171875,5.630035400390625,6,8,"In this document, each Foundation Level Extension ",,,,,,,body
9.960000038146973,0,0.1251492219812729,0.9074839582346906,9,38,0.0789473684210526,0,0,4,325.2868117844199,1.1103678936877472,0,353.26123046875,12.360366821289062,6,9,Version 2014 ,,,,,,,body
6.0,0,0.1251372543035769,0.9304166851621686,6,53,0.0943396226415094,0,0,4,336.072594353422,0.6024096362469775,0,18.1627197265625,0.0,6,10,© International Software Testing Qualifications Bo,,,,,,,body
9.960000038146973,0,0.7038398692810458,0.0778613524003462,2,20,0.1,0,0,4,205.12933123159317,0.8627111309318664,0,23.03997802734375,-359.8059997558594,7,0,Qualifications Board ,,,,,,,body
10.300000031789144,0,0.1216078490213631,0.0487704710526899,10,81,0.1111111111111111,0,0,4,142.97531690068178,0.8987783592934966,0,0.0,-3.4800033569335938,7,1,International ,,,,,,,body
15.960000038146973,0,0.1159215690263735,0.1552729558463048,8,58,0.1034482758620689,0,0,5,121.01711030132051,1.4717816309786085,0,61.30998992919922,0.0,7,2,2. Introduction to Foundation Level Agile Tester E,,,,,,,heading
9.960000038146973,0,0.1159215690263735,0.1828435647367227,70,452,0.0243362831858407,1,0,6,123.74091417939648,0.8515246523847724,0,21.835922241210938,0.0,7,3,The certification for Foundation Level Extension –,,,,,,,body
14.039999961853027,0,0.1159215690263735,0.2744366038929332,3,21,0.0952380952380952,0,1,4,175.80620917117625,1.2251308826455491,0,72.54168701171875,17.997726440429688,7,4,2.1 Intended Audience ,,,,,,,heading
9.960000038146973,0,0.1159215690263735,0.302275416826961,16,106,0.0566037735849056,0,0,7,142.43753894708416,0.8699775406366973,0,22.04833984375,0.019927978515625,7,5,The Foundation Level Extension – Agile Tester qual,,,,,,,body
9.960000038146973,0,0.1453296187656377,0.3186868224481139,109,696,0.0172413793103448,1,0,5,119.79382858273156,0.924276170841868,0,12.997833251953123,-17.967849731445312,7,6,1. Professionals who have achieved in-depth testin,,,,,,,body
9.960000038146973,0,0.1159541310827716,0.478424072265625,25,182,0.0054945054945054,1,0,4,102.76141399817573,1.0,0,126.51190185546876,-0.019927978515625,7,7,These professionals include people who are in role,,,,,,,body
9.960000038146973,0,0.1159703871783088,0.5202258716930043,42,304,0.0296052631578947,1,0,5,112.48008934703972,0.924276170841868,0,33.107025146484375,-0.029876708984375,7,8,This Foundation Level Extension – Agile Tester cer,,,,,,,body
14.039999961853027,0,0.1159215690263735,0.611772479433002,5,28,0.1071428571428571,0,1,4,150.36798337252318,1.2786885188947157,0,72.50491333007812,0.019927978515625,7,9,2.2 Career Paths for Testers ,,,,,,,heading
9.960000038146973,0,0.1159215690263735,0.6414346405954072,53,337,0.0356083086053412,1,0,6,116.73012541734327,0.936090226911745,0,23.492431640625,0.0,7,10,"Building on the Foundation Level, the Agile Tester",,,,,,,body
9.960000038146973,0,0.1159541310827716,0.7121983537770281,20,143,0.1468531468531468,1,0,7,120.81953720066382,0.8952234227603829,0,56.04486083984375,5.617431640625,7,11,People possessing an ISTQB Foundation Level Extens,,,,,,,body
14.039999961853027,0,0.1159215690263735,0.7748406920770202,3,23,0.0869565217391304,0,1,4,143.89568432396675,1.405405400245249,0,49.61273193359375,0.019927978515625,7,12,2.3 Learning Objectives ,,,,,,,heading
9.960000038146973,0,0.1159215690263735,0.8045027761748342,29,186,0.032258064516129,1,0,6,107.62737252395232,0.9979959938989688,0,23.49237060546875,5.6399993896484375,7,13,"In general, the Foundation Level syllabus is exami",,,,,,,body
9.960000038146973,0,0.1159215690263735,0.8479897084862295,19,120,0.0333333333333333,1,0,5,100.87737785383617,1.086387435099592,0,34.441650390625,5.6399993896484375,7,14,"In addition, all Foundation Level syllabus learnin",,,,,,,body
9.960000038146973,0,0.1251329409530739,0.9074354075422192,9,38,0.0789473684210526,0,0,4,105.8765163544366,1.1103678936877472,0,47.08099365234375,0.0026397705078125,7,15,Version 2014 ,,,,,,,body
6.0,0,0.1251372543035769,0.9304166851621686,6,53,0.0943396226415094,0,0,4,157.46914761346724,0.5464480864824526,0,18.201171875,0.0,7,16,© International Software Testing Qualifications Bo,,,,,,,body
9.960000038146973,0,0.7038398692810458,0.0778613524003462,2,20,0.1,0,0,4,205.34957272204093,0.9915380788351222,0,23.03997802734375,-359.8059997558594,8,0,Qualifications Board ,,,,,,,body
10.300000031789144,0,0.1216078490213631,0.0487704710526899,10,81,0.1111111111111111,0,0,4,143.8930324162606,0.9380692180233966,0,0.0,-3.4800033569335938,8,1,International ,,,,,,,body
9.960000038146973,0,0.1159215440937117,0.1374320502233023,39,254,0.0196850393700787,1,0,6,127.70735786668656,0.8754761231710289,0,47.17999267578125,1.52587890625e-05,8,2,"That said, each extension level exam focuses on th",,,,,,,body
14.039999961853027,0,0.1159215690263735,0.1982245011763139,3,22,0.0909090909090909,0,1,5,143.1501905992625,1.2947251875567545,0,48.14762115478516,-1.52587890625e-05,8,3,2.4 Entry Requirements ,,,,,,,heading
9.960000038146973,0,0.1159215690263735,0.2260253983314591,23,148,0.0878378378378378,1,0,8,125.31452576979288,0.9036062618852504,0,22.018310546875,0.0,8,4,To be able to participate in a Foundation Level Ex,,,,,,,body
14.039999961853027,0,0.1159215690263735,0.2741335859202375,5,33,0.0909090909090909,0,1,5,111.61377993207972,1.302895316632528,0,38.1016845703125,0.0,8,5,2.5 Structure and Course Duration ,,,,,,,heading
9.960000038146973,0,0.1159215690263735,0.3019723988542653,19,123,0.065040650406504,1,0,9,111.38930111390648,0.9564660700802258,0,22.04833984375,0.0,8,6,The Foundation Level Extension – Agile Tester syll,,,,,,,body
9.960000038146973,0,0.1159215690263735,0.3473206337052162,12,67,0.0149253731343283,0,0,6,98.40443218389198,0.8798586596253526,0,35.915802001953125,141.26600646972656,8,7,The syllabi must be taught in the following minimu,,,,,,,body
9.960000038146973,0,0.3467483769834431,0.3806517629912405,2,13,0.1538461538461538,0,0,6,63.73919970046799,1.0,0,26.39825439453125,-141.26600646972656,8,8,Syllabus ,,,,,,,body
9.960000038146973,0,0.3467483769834431,0.4035305447048611,3,22,0.0909090909090909,0,0,7,156.18607763505602,1.0602189784726876,0,18.1199951171875,-135.62600708007812,8,9,Baseline: Foundation ,,,,,,,body
9.960000038146973,0,0.3467483769834431,0.4262578174321338,4,25,0.12,0,0,6,164.85490380579282,1.0709677423765402,0,18.0,-135.62600708007812,8,10,Extension: Agile Tester ,,,,,,,body
9.960000038146973,0,0.1159215690263735,0.4635305693655303,18,116,0.0517241379310344,1,0,6,171.71387486720505,1.0709677423765402,0,29.52001953125,5.6399993896484375,8,11,The following figure shows the structure of the Ag,,,,,,,body
9.960000038146973,0,0.1251372543035769,0.9074337891858032,9,38,0.0789473684210526,0,0,4,321.0600368952799,1.1103678936877472,0,351.57135009765625,135.62600708007812,8,12,Version 2014 ,,,,,,,body
